         91460 function calls (89740 primitive calls) in 14.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      273    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.003    0.001 queues.py:359(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        7    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
        2    0.000    0.000    0.004    0.002 abc.py:1(<module>)
      203    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      107    0.000    0.000    0.000    0.000 __init__.py:164(match)
        6    0.000    0.000    0.000    0.000 subprocess.py:306(_args_from_interpreter_flags)
       15    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
       23    0.000    0.000    0.000    0.000 _regex_core.py:1720(standardise_name)
      136    0.000    0.000    0.000    0.000 _virtualenv.py:50(find_spec)
      169    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       46    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
       52    0.000    0.000    0.000    0.000 __init__.py:851(normalize)
        4    0.000    0.000    0.000    0.000 signal.py:72(<genexpr>)
      5/4    0.000    0.000    0.000    0.000 _regex_core.py:3917(optimise)
      183    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       10    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        3    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      110    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        6    0.000    0.000    0.000    0.000 std.py:106(release)
       80    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
        2    0.000    0.000    0.000    0.000 std.py:1446(format_dict)
       37    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
       38    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       13    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       50    0.000    0.000    0.000    0.000 __init__.py:739(joinpath)
       23    0.000    0.000    0.000    0.000 _regex_core.py:1699(numeric_to_rational)
       59    0.000    0.000    0.000    0.000 _local.py:498(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
      278    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       48    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
     20/7    0.000    0.000    0.034    0.005 {built-in method builtins.__import__}
      157    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
      209    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
        1    0.000    0.000    0.001    0.001 process.py:1(<module>)
      113    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.001    0.001 bpe_parallel.py:16(find_chunk_boundaries)
       10    0.000    0.000    0.002    0.000 feedparser.py:178(_call_parse)
       20    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
      157    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        7    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.003    0.003 pool.py:345(_setup_queues)
      6/4    0.000    0.000    0.000    0.000 connection.py:390(_recv)
       12    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
        5    0.000    0.000    0.000    0.000 spawn.py:138(_check_not_importing_main)
      144    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        4    0.000    0.000    0.000    0.000 _regex_core.py:2268(<genexpr>)
       70    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
        3    0.000    0.000    0.000    0.000 argparse.py:1440(add_argument)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       52    0.000    0.000    0.000    0.000 typing.py:1368(__setattr__)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
       72    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        5    0.000    0.000    0.000    0.000 util.py:500(_flush_std_streams)
      120    0.000    0.000    0.000    0.000 enum.py:1449(_iter_member_by_def_)
        5    0.000    0.000    0.000    0.000 std.py:110(__enter__)
        2    0.000    0.000    0.003    0.002 utils.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _regex_core.py:2001(__eq__)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
       12    0.000    0.000    0.000    0.000 __init__.py:759(mtime)
      120    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
       25    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
        2    0.000    0.000    0.000    0.000 std.py:1286(fp_write)
        3    0.000    0.000    0.000    0.000 connection.py:533(Pipe)
        2    0.000    0.000    0.003    0.001 std.py:1464(display)
        8    0.000    0.000    0.000    0.000 feedparser.py:102(push)
     46/3    0.000    0.000    0.000    0.000 _regex_core.py:1992(compile)
       13    0.000    0.000    0.000    0.000 typing.py:173(_type_check)
      5/3    0.000    0.000   14.434    4.811 connection.py:439(_poll)
       28    0.000    0.000    0.000    0.000 inspect.py:2754(__init__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 connection.py:1(<module>)
        2    0.000    0.000    0.002    0.001 parser.py:56(parsestr)
        7    0.000    0.000    0.000    0.000 threading.py:281(__init__)
        6    0.000    0.000    0.000    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
        2    0.000    0.000    0.000    0.000 std.py:399(format_interval)
        2    0.000    0.000    0.000    0.000 _adapters.py:63(_repair_headers)
      2/1    0.000    0.000   14.699   14.699 train_bpe_on_dataset.py:12(train_dataset)
